City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,singkil,-7.9855,111.4161,20.94,93,100,1.86,ID,1722885784
1,tomatlan,19.9333,-105.25,34.21,49,24,3.01,MX,1722885786
2,usinsk,65.9939,57.5281,10.25,72,99,5.75,RU,1722885787
3,edinburgh of the seven seas,-37.0676,-12.3116,13.74,91,92,11.02,SH,1722885788
4,longyearbyen,78.2186,15.6401,9.91,81,20,6.17,SJ,1722885789
5,mantua,45.1667,10.7833,29.53,70,42,0.89,IT,1722885790
6,grytviken,-54.2811,-36.5092,-8.31,76,100,4.8,GS,1722885644
7,vyerkhnyadzvinsk,55.7815,27.9443,18.16,77,100,2.33,BY,1722885792
8,al fuwayliq,26.4432,43.2534,31.37,17,6,5.16,SA,1722885793
9,bilibino,68.0546,166.4372,2.21,68,84,1.83,RU,1722885692
10,igarka,67.4667,86.5833,8.67,71,99,5.34,RU,1722885797
11,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,1.0,RU,1722885798
12,waitangi,-43.9535,-176.5597,8.79,94,86,0.45,NZ,1722885799
13,arraial do cabo,-22.9661,-42.0278,26.98,69,0,8.75,BR,1722885788
14,el calafate,-50.3408,-72.2768,0.45,86,71,2.09,AR,1722885801
15,ribeira grande,38.5167,-28.7,26.22,83,20,5.14,PT,1722885802
16,slave lake,55.2834,-114.769,18.99,72,100,2.06,CA,1722885803
17,hermanus,-34.4187,19.2345,11.38,79,12,5.63,ZA,1722885804
18,adamstown,-25.066,-130.1015,19.49,65,21,5.49,PN,1722885795
19,okha,53.5739,142.9478,12.58,87,100,8.55,RU,1722885806
20,qusmuryn,52.4503,64.6311,20.42,65,44,1.33,KZ,1722885808
21,morondava,-20.2833,44.2833,21.84,76,0,4.69,MG,1722885809
22,hadibu,12.65,54.0333,25.64,80,37,8.59,YE,1722885811
23,sao vicente,-23.9631,-46.3919,33.1,76,37,0.79,BR,1722885663
24,port-aux-francais,-49.35,70.2167,1.01,72,12,5.54,TF,1722885813
25,beaver dam,43.4578,-88.8373,25.55,79,100,2.57,US,1722885816
26,ulladulla,-35.35,150.4667,8.07,79,6,3.14,AU,1722885817
27,mirny,62.5353,113.9611,12.78,62,86,2.26,RU,1722885818
28,dzuunharaa,48.8523,106.4579,14.84,96,100,0.84,MN,1722885819
29,bethel,41.3712,-73.414,32.42,58,0,3.6,US,1722885820
30,byron bay,-28.65,153.6167,16.51,80,99,5.32,AU,1722885823
31,hawaiian paradise park,19.5933,-154.9731,26.73,78,20,2.06,US,1722885824
32,uvira,-3.4067,29.1458,24.31,53,99,0.67,CD,1722885825
33,kerikeri,-35.2268,173.9474,6.06,93,1,1.63,NZ,1722885826
34,argo,37.6333,22.7333,29.32,66,0,0.77,GR,1722885827
35,san antonio de pale,-1.4014,5.6325,22.2,75,100,4.33,GQ,1722885828
36,southwick,42.0548,-72.7704,32.64,53,0,7.2,US,1722885829
37,hithadhoo,-0.6,73.0833,28.53,73,100,1.46,MV,1722885830
38,qaqortoq,60.7167,-46.0333,9.45,69,100,1.65,GL,1722885607
39,bredasdorp,-34.5322,20.0403,8.78,83,0,3.44,ZA,1722885832
40,lihue,21.9789,-159.3672,27.08,71,20,6.17,US,1722885601
41,iqaluit,63.7506,-68.5145,7.85,81,100,3.6,CA,1722885836
42,kindu,-2.95,25.95,25.55,37,75,0.37,CD,1722885838
43,avarua,-21.2078,-159.775,25.03,78,2,4.12,CK,1722885839
44,vrangel',42.7297,133.0839,18.27,90,100,3.2,RU,1722885840
45,invercargill,-46.4,168.35,3.9,92,95,1.79,NZ,1722885841
46,kodiak,57.79,-152.4072,12.73,100,100,6.69,US,1722885842
47,mount isa,-20.7333,139.5,15.87,67,100,4.63,AU,1722885835
